ID1	ID2	GRM	KING
s17	s33	0.0070	0.0000
s17	s34	-0.0050	0.0000
s17	s35	0.0119	0.0000
s17	s36	0.0075	0.0000
s17	s37	0.0113	0.0000
s17	s38	-0.0810	0.0000
s17	s41	0.0104	0.0000
s17	s42	-0.0132	0.0000
s17	s43	-0.0121	0.0000
s17	s46	-0.0105	0.0000
s17	s47	0.0125	0.0000
s17	s48	0.0183	0.0000
s17	s49	-0.0861	0.0000
s17	s50	0.0368	0.0000
s17	s51	0.0308	0.0000
s17	s52	0.0069	0.0000
s17	s53	0.0071	0.0000
s17	s54	-0.0084	0.0000
s17	s55	0.0089	0.0000
s17	s57	0.0095	0.0000
s17	s58	0.0114	0.0000
s17	s59	-0.0104	0.0000
s17	s60	0.0112	0.0000
s17	s61	-0.0128	0.0000
s17	s64	0.0115	0.0000
s17	s66	0.0073	0.0000
s17	s67	-0.0138	0.0000
s17	s68	-0.0117	0.0000
s17	s69	0.0057	0.0000
s17	s73	-0.0099	0.0000
s17	s74	-0.0808	0.0000
s17	s75	-0.0818	0.0000
s17	s76	-0.0014	0.0000
s17	s77	0.0108	0.0000
s17	s78	0.0140	0.0000
s17	s79	-0.0809	0.0000
s17	s82	0.0111	0.0000
s17	s83	0.5068	0.2481
s17	s84	0.0025	0.0000
s17	s85	0.0490	0.0000
s17	s87	0.0019	0.0000
s17	s91	-0.0001	0.0000
s17	s92	-0.0105	0.0000
s17	s93	-0.0105	0.0000
s17	s94	-0.0058	0.0000
s17	s95	-0.0138	0.0000
s18	s19	0.0647	0.0000
s18	s20	0.0682	0.0000
s18	s24	0.0698	0.0000
s18	s26	0.0357	0.0000
s18	s27	-0.0115	0.0000
s18	s28	-0.0921	0.0000
s18	s29	0.5604	0.2515
s18	s30	-0.0637	0.0000
s18	s31	0.0702	0.0000
s18	s32	-0.0099	0.0000
s18	s33	-0.0601	0.0000
s18	s34	-0.0605	0.0000
s18	s35	0.0712	0.0000
s18	s36	0.0660	0.0000
s18	s37	0.0655	0.0000
s18	s38	-0.0949	0.0000
s18	s41	0.0678	0.0000
s18	s42	0.0474	0.0000
s18	s43	0.0475	0.0000
s18	s46	0.0487	0.0000
s18	s47	0.0419	0.0000
s18	s48	0.0350	0.0000
s18	s49	-0.0942	0.0000
